car,price,body,mileage,engV,engType,registration,year,model,drive,purchase_date
Mercedes-Benz,69999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,09-02-2000
BMW,66200,crossover,70,3,Diesel,yes,2014,X5,full,10-02-2000
BMW,63000,crossover,0,2,Diesel,yes,2015,X5,full,11-02-2000
Mercedes-Benz,105999,crossover,0,2.98,Diesel,yes,2016,GLE-Class,full,14-02-2000
Nissan,13980,hatch,31,NA,Other,yes,2013,Leaf,front,15-02-2000
Nissan,17300,hatch,24,NA,Other,yes,2013,Leaf,front,16-02-2000
Volkswagen,10700,sedan,147,2,Petrol,yes,2007,Passat B6,front,17-02-2000
Audi,2600,vagon,273,2.5,Diesel,no,1999,A6,front,18-02-2000
Chrysler,13700,sedan,70,2.4,Petrol,yes,2008,Sebring,front,21-02-2000
Volkswagen,8999,sedan,120,2,Petrol,yes,2008,Passat B6,front,22-02-2000
Jaguar,18777,sedan,82,3,Petrol,yes,2008,XF,rear,23-02-2000
Audi,2850,sedan,260,NA,Other,no,1999,A6,,24-02-2000
Audi,37000,sedan,37,2.8,Petrol,yes,2012,A6,full,25-02-2000
Mercedes-Benz,2.00E+05,van,19,3.5,Petrol,yes,2013,Sprinter 324 пасс.,rear,28-02-2000
Audi,3850,vagon,215,2.5,Diesel,no,2002,A6,front,29-02-2000
Nissan,13275,hatch,12,NA,Other,yes,2013,Leaf,front,01-03-2000
Mercedes-Benz,20400,sedan,190,1.8,Gas,yes,2011,E-Class,rear,02-03-2000
BMW,1900,sedan,300,2.5,Diesel,no,1997,5 Series,rear,03-03-2000
BMW,39333,sedan,6,2,Petrol,yes,2016,520,,06-03-2000
Mercedes-Benz,99999,crossover,0,2.99,Diesel,yes,2016,GLE-Class,full,07-03-2000
Mercedes-Benz,70999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,08-03-2000
BMW,63500,crossover,1,2,Diesel,yes,2016,X5,full,09-03-2000
BMW,59900,crossover,30,2,Diesel,yes,2016,X5,full,10-03-2000
Mitsubishi,9200,crossover,110,2.4,Petrol,yes,2006,Outlander,full,13-03-2000
Nissan,20241.897,crossover,0,1.6,Petrol,yes,2015,Juke,front,14-03-2000
Mercedes-Benz,14490,vagon,212,2.2,Diesel,yes,2008,E-Class,rear,15-03-2000
Mercedes-Benz,31500,sedan,123,2.2,Diesel,yes,2011,E-Class,,16-03-2000
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full,21-03-2000
Volkswagen,8999,sedan,120,1.9,Diesel,yes,2007,Passat B6,front,22-03-2000
Audi,3650,sedan,240,2.5,Diesel,no,2000,A6,front,23-03-2000
Nissan,17000,hatch,38,NA,Other,yes,2013,Leaf,front,24-03-2000
Mitsubishi,12000,sedan,121,2.4,Gas,yes,2009,Galant,front,27-03-2000
Kia,20633.886,crossover,0,1.7,Diesel,yes,2016,Sportage,front,28-03-2000
Porsche,55000,crossover,105,3,Diesel,yes,2012,Cayenne,full,30-03-2000
Kia,18000,crossover,64,2,Diesel,yes,2011,Sportage,full,31-03-2000
Kia,21700,crossover,58,2,Diesel,yes,2012,Sportage,full,03-04-2000
Volkswagen,2400,vagon,320,1.9,Diesel,no,2000,Passat B5,front,04-04-2000
Volkswagen,2350,sedan,300,1.9,Diesel,no,1998,Passat B5,front,05-04-2000
Honda,18600,vagon,98,2.4,Gas,yes,2011,Accord,front,06-04-2000
Mercedes-Benz,104999,crossover,1,3,Diesel,yes,2016,GLE-Class,full,07-04-2000
Toyota,195000,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,10-04-2000
Porsche,49900,crossover,73,3,Diesel,yes,2011,Cayenne,full,11-04-2000
Porsche,50900,crossover,53,3.6,Petrol,yes,2013,Cayenne,full,12-04-2000
Porsche,99999,crossover,1,2.99,Diesel,yes,2016,Cayenne,full,13-04-2000
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full,17-04-2000
Toyota,0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,18-04-2000
Toyota,102999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,19-04-2000
Audi,35900,crossover,143,3,Diesel,yes,2010,Q7,full,20-04-2000
Honda,16500,sedan,147,2.4,Petrol,yes,2009,Accord,front,24-04-2000
Toyota,103999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,25-04-2000
Porsche,114900,crossover,25,4.8,Petrol,yes,2013,Cayenne,full,26-04-2000
Porsche,26500,crossover,160,4.8,Petrol,yes,2008,Cayenne,full,27-04-2000
Mitsubishi,12999,crossover,140,2.4,Gas,yes,2007,Outlander XL,full,28-04-2000
Honda,30000,sedan,52,3.5,Gas,yes,2014,Accord,front,02-05-2000
Porsche,26900,crossover,135,4.8,Petrol,yes,2008,Cayenne,full,03-05-2000
Toyota,80000,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,full,04-05-2000
BMW,8500,sedan,260,2.2,Gas,yes,2001,520,rear,05-05-2000
Mercedes-Benz,7000,van,197,2.2,Diesel,yes,2002,Vito пасс.,front,08-05-2000
Audi,36000,crossover,145,3,Petrol,yes,2010,Q7,full,09-05-2000
Mercedes-Benz,9500,van,280,2.2,Diesel,yes,2005,Vito пасс.,rear,10-05-2000
Toyota,103999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,11-05-2000
Toyota,1.00E+05,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,12-05-2000
Mercedes-Benz,16500,other,107,2.2,Diesel,yes,2010,Vito пасс.,front,15-05-2000
Toyota,15500,sedan,120,3.5,Petrol,yes,2008,Camry,front,16-05-2000
Porsche,0,sedan,22,4.8,Petrol,yes,2014,Panamera,full,17-05-2000
Mercedes-Benz,10999,van,191,2.2,Diesel,yes,2007,Vito пасс.,rear,18-05-2000
Audi,0,crossover,0,3,Diesel,yes,2015,Q7,full,19-05-2000
Audi,88888,crossover,0,3,Diesel,yes,2015,Q7,full,22-05-2000
Toyota,0,crossover,49,4.5,Diesel,yes,2014,Land Cruiser 200,full,23-05-2000
Mercedes-Benz,16500,van,223,2.2,Diesel,yes,2009,Vito пасс.,rear,24-05-2000
Volkswagen,17900,crossover,145,3,Diesel,yes,2007,Touareg,full,25-05-2000
Volkswagen,0,van,165,2,Diesel,yes,2013,T5 (Transporter) груз,front,26-05-2000
Mercedes-Benz,20400,sedan,190,1.8,Gas,yes,2011,E-Class,rear,29-05-2000
Volkswagen,20000,crossover,115,2.5,Diesel,yes,2008,Touareg,full,30-05-2000
BMW,21000,sedan,186,3,Petrol,yes,2007,530,rear,31-05-2000
Hyundai,11800,sedan,65,1.4,Petrol,yes,2013,Accent,front,01-06-2000
Mercedes-Benz,0,van,450,2.2,Diesel,yes,2000,Vito пасс.,front,02-06-2000
Volkswagen,10000,van,231,1.9,Diesel,yes,2005,T5 (Transporter) пасс.,,05-06-2000
Volkswagen,37990,crossover,140,3,Diesel,yes,2012,Touareg,full,06-06-2000
Porsche,0,crossover,0,3,Diesel,yes,2016,Cayenne,full,07-06-2000
BMW,3900,vagon,240,3,Diesel,no,2001,530,rear,08-06-2000
Volkswagen,33500,crossover,98,NA,Petrol,yes,2013,Touareg,full,09-06-2000
Hyundai,9700,sedan,54,1.4,Petrol,yes,2013,Accent,front,12-06-2000
Nissan,12400,hatch,26,NA,Other,yes,2011,Leaf,,13-06-2000
Mercedes-Benz,6200,sedan,221,1.8,Gas,yes,2004,E-Class,rear,14-06-2000
Renault,10500,vagon,185,1.5,Diesel,yes,2011,Megane,front,15-06-2000
Hyundai,6900,crossover,105,1.6,Petrol,yes,2009,Accent,front,16-06-2000
Mercedes-Benz,20300,sedan,198,1.8,Gas,yes,2011,E-Class,rear,19-06-2000
Audi,18500,crossover,185,3.6,Petrol,yes,2008,Q7,full,20-06-2000
Toyota,73900,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,21-06-2000
Toyota,30500,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,full,22-06-2000
Toyota,30800,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full,23-06-2000
Toyota,25500,crossover,200,4,Petrol,yes,2007,Land Cruiser Prado,full,26-06-2000
Mercedes-Benz,29500,sedan,37,1.8,Petrol,yes,2012,E-Class,,27-06-2000
Opel,3550,vagon,231,2,Diesel,no,2005,Vectra C,front,28-06-2000
Volkswagen,0,van,162,2,Diesel,yes,2011,T5 (Transporter) груз,front,29-06-2000
Toyota,99999,crossover,0,4.5,Petrol,yes,2016,Land Cruiser 200,full,30-06-2000
Mercedes-Benz,107999,crossover,0,2.98,Diesel,yes,2016,GLS 350,full,03-07-2000
BMW,0,crossover,1,3,Diesel,yes,2014,X6,full,04-07-2000
BMW,0,crossover,0,3,Diesel,yes,2015,X6,full,05-07-2000
Toyota,74999,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,06-07-2000
Audi,34000,crossover,118,2,Diesel,yes,2013,Q5,full,07-07-2000
BMW,2850,sedan,214,1.9,Petrol,no,2000,318,rear,10-07-2000
Volkswagen,3250,sedan,255,1.9,Diesel,no,2003,Passat B5,front,11-07-2000
Volkswagen,16900,crossover,133,2.5,Diesel,yes,2007,Touareg,full,12-07-2000
Toyota,99999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,13-07-2000
Chevrolet,6800,sedan,106,1.6,Petrol,yes,2007,Lacetti,front,14-07-2000
Toyota,23400,crossover,120,4,Petrol,yes,2007,Land Cruiser Prado,full,17-07-2000
Skoda,17900,sedan,65,1.8,Petrol,yes,2013,Superb,front,18-07-2000
Toyota,37700,crossover,62,3,Diesel,yes,2013,Land Cruiser Prado,full,19-07-2000
Land Rover,29500,crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full,20-07-2000
Mercedes-Benz,93555,crossover,0,NA,Other,yes,2016,GLS 350,,21-07-2000
Volkswagen,30000,sedan,67,2,Diesel,yes,2013,Passat B7,front,24-07-2000
Mitsubishi,7999,sedan,112,2,Petrol,yes,2008,Lancer X,front,25-07-2000
Land Rover,43500,crossover,54,5,Petrol,yes,2012,Range Rover Sport,full,26-07-2000
Mercedes-Benz,107777,crossover,0,3,Diesel,yes,2016,GLS 350,full,27-07-2000
Mitsubishi,8400,sedan,91,1.5,Petrol,yes,2009,Lancer X,front,28-07-2000
Land Rover,40000,vagon,52,2.2,Diesel,yes,2013,Range Rover Evoque,full,31-07-2000
Mercedes-Benz,109999,crossover,0,2.98,Diesel,yes,2016,GLS 350,full,01-08-2000
Opel,2780,sedan,254,2.2,Diesel,yes,2003,Vectra C,front,02-08-2000
Mercedes-Benz,43500,other,51,3,Diesel,yes,2014,E-Class,rear,03-08-2000
Volkswagen,18700,other,145,2,Diesel,yes,2011,T5 (Transporter) груз,front,04-08-2000
Chevrolet,7800,sedan,85,1.6,Gas,yes,2012,Lacetti,front,07-08-2000
BMW,6350,crossover,156,4.4,Gas,no,2002,X5,full,08-08-2000
Daewoo,3500,sedan,112,NA,Petrol,yes,2007,Lanos,front,09-08-2000
BMW,25500,other,163,4.8,Petrol,yes,2008,X5,full,10-08-2000
Land Rover,53500,crossover,69,3.5,Diesel,yes,2012,Range Rover Sport,full,11-08-2000
Nissan,15999,crossover,59,2,Petrol,yes,2011,Qashqai,full,14-08-2000
Nissan,17700,crossover,40,1.6,Petrol,yes,2014,Qashqai,,16-08-2000
Volkswagen,14499,van,164,2,Diesel,yes,2013,T5 (Transporter) груз,front,17-08-2000
Daewoo,4300,sedan,70,1.5,Petrol,yes,2007,Lanos,front,18-08-2000
Mitsubishi,18999,crossover,173,3.8,Gas,yes,2008,Pajero Wagon,full,21-08-2000
Land Rover,0,crossover,45,3,Petrol,yes,2014,Range Rover Sport,full,22-08-2000
Mercedes-Benz,71999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,23-08-2000
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLS 350,full,24-08-2000
Mitsubishi,18500,crossover,135,3,Gas,yes,2009,Pajero Wagon,full,25-08-2000
Volkswagen,18900,other,45,2,Diesel,yes,2013,Passat B7,front,28-08-2000
Mercedes-Benz,17900,van,167,2.2,Diesel,yes,2012,Vito груз.,,29-08-2000
BMW,67500,crossover,1,2,Diesel,yes,2016,X5,full,30-08-2000
BMW,67500,crossover,1,2.5,Diesel,yes,2016,X5,full,31-08-2000
Land Rover,28999,crossover,139,3.6,Diesel,yes,2008,Range Rover Sport,full,05-09-2000
Land Rover,49999,crossover,43,5,Petrol,yes,2012,Range Rover Sport,full,06-09-2000
Toyota,14700,sedan,139,3.5,Petrol,yes,2008,Camry,front,07-09-2000
Land Rover,53500,crossover,57,3,Diesel,yes,2013,Range Rover Sport,full,08-09-2000
Daewoo,5600,sedan,145,1.6,Petrol,yes,2008,Lanos,front,11-09-2000
Land Rover,78900,crossover,0,3,Diesel,yes,2015,Range Rover Sport,full,12-09-2000
Skoda,13200,hatch,64,1.8,Petrol,yes,2012,Octavia A5,front,13-09-2000
BMW,37200,other,115,3,Diesel,yes,2011,X5,full,14-09-2000
Land Rover,27500,other,174,3.6,Diesel,yes,2008,Range Rover,full,15-09-2000
Mazda,9200,sedan,124,2,Petrol,yes,2007,3,front,18-09-2000
Mercedes-Benz,17500,van,220,3,Diesel,yes,2012,Vito груз.,rear,19-09-2000
Toyota,24000,sedan,16,2.5,Petrol,yes,2013,Camry,front,21-09-2000
Land Rover,77777,crossover,42,2.99,Diesel,yes,2014,Range Rover Sport,full,22-09-2000
Mazda,8000,sedan,167,2,Petrol,yes,2007,6,front,25-09-2000
BMW,0,crossover,36,3,Diesel,yes,2013,X5,full,26-09-2000
Lexus,85999,crossover,39,5.7,Gas,yes,2013,LX 570,full,27-09-2000
Mercedes-Benz,2400,sedan,3,3,Diesel,yes,1998,E-Class,front,28-09-2000
Toyota,195000,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,29-09-2000
Audi,4600,vagon,242,99.99,Diesel,no,2004,A6,front,03-10-2000
Mitsubishi,18900,crossover,127,3,Gas,yes,2008,Pajero Wagon,full,04-10-2000
Mercedes-Benz,114999,crossover,0,2.99,Diesel,yes,2016,GLS 350,full,05-10-2000
Mercedes-Benz,103333,crossover,0,3,Diesel,yes,2016,GLE-Class,full,06-10-2000
Mercedes-Benz,0,crossover,1,3,Petrol,yes,2015,GLE-Class,full,09-10-2000
Toyota,20800,crossover,107,4,Petrol,yes,2006,Land Cruiser Prado,full,10-10-2000
BMW,24500,crossover,170,4.8,Gas,yes,2007,X5,full,11-10-2000
Toyota,12300,sedan,157,2.4,Gas,yes,2007,Camry,front,12-10-2000
Mercedes-Benz,20500,sedan,173,1.8,Gas,yes,2011,E-Class,rear,13-10-2000
BMW,11500,sedan,193,4.4,Petrol,yes,2000,740,rear,16-10-2000
Mercedes-Benz,13200,van,182,2.2,Diesel,yes,2011,Vito груз.,rear,17-10-2000
BMW,29900,crossover,235,3,Diesel,yes,2009,X5,full,18-10-2000
Mercedes-Benz,12500,van,167,2.2,Diesel,yes,2013,Vito груз.,rear,19-10-2000
Skoda,13999,sedan,88,1.8,Petrol,yes,2012,Octavia A5,front,20-10-2000
Ford,15500,crossover,68,2.5,Gas,yes,2010,Kuga,full,23-10-2000
Lexus,79500,crossover,40,5.7,Petrol,yes,2014,LX 570,full,24-10-2000
Land Rover,30000,other,155,3.6,Diesel,yes,2008,Range Rover Sport,full,25-10-2000
Lexus,16600,sedan,179,3,Petrol,yes,2006,GS 300,full,27-10-2000
Toyota,14300,sedan,71,2.4,Petrol,yes,2008,Camry,front,31-10-2000
Lexus,0,crossover,11,5.7,Petrol,yes,2016,LX 570,full,01-11-2000
Lexus,47000,crossover,1,5.7,Petrol,yes,2008,LX 570,full,02-11-2000
Daewoo,3200,sedan,130,1.5,Petrol,yes,2003,Lanos,front,03-11-2000
Mercedes-Benz,0,other,22,3,Diesel,yes,2015,S 350,full,06-11-2000
Audi,24996,sedan,98,3.2,Petrol,yes,2009,A5,full,07-11-2000
Mercedes-Benz,9200,other,280,2.4,Petrol,yes,2003,E-Class,rear,08-11-2000
Audi,6800,sedan,225,2.4,Gas,yes,1998,A6,front,09-11-2000
Ford,15500,crossover,68,2.5,Diesel,yes,2010,Kuga,front,10-11-2000
Mercedes-Benz,38200,sedan,39,1.6,Petrol,yes,2015,C-Class,rear,13-11-2000
Hyundai,10500,crossover,120,NA,Other,yes,2007,Tucson,full,14-11-2000
Skoda,19200,sedan,75,1.8,Petrol,yes,2014,Octavia A7,front,15-11-2000
Mercedes-Benz,125000,sedan,18,3,Diesel,yes,2015,S 350,full,16-11-2000
Mercedes-Benz,0,sedan,62,3,Diesel,yes,2013,S 350,rear,17-11-2000
Porsche,51900,sedan,78,4.8,Petrol,yes,2011,Panamera,,20-11-2000
Porsche,87900,crossover,1,3,Diesel,yes,2016,Cayenne,full,21-11-2000
Toyota,9000,sedan,232,2.4,Petrol,yes,2005,Camry,front,22-11-2000
Nissan,11500,crossover,128,2,Petrol,yes,2008,Qashqai,,23-11-2000
Infiniti,35999,crossover,98,3.7,Gas,yes,2012,FX 37,full,24-11-2000
Lexus,21900,sedan,77,3,Petrol,yes,2008,GS 300,rear,27-11-2000
Toyota,13900,sedan,139,2.4,Other,yes,2008,Camry,front,28-11-2000
Lexus,22400,crossover,100,4.7,Gas,yes,2005,GX,full,29-11-2000
Porsche,81000,crossover,35,4.8,Petrol,yes,2014,Cayenne,full,30-11-2000
Mercedes-Benz,6200,other,340,2.4,Gas,yes,1998,E-Class,rear,01-12-2000
BMW,66900,crossover,70,3,Diesel,yes,2014,X5,full,04-12-2000
BMW,104999,crossover,2,3,Diesel,yes,2016,X5,full,05-12-2000
Mercedes-Benz,38600,other,12,1.8,Petrol,yes,2012,E-Class,rear,06-12-2000
Nissan,21850,crossover,64,2,Petrol,yes,2013,X-Trail,full,07-12-2000
Mercedes-Benz,37500,other,94,5.5,Petrol,yes,2009,CL 55 AMG,rear,08-12-2000
Nissan,17000,hatch,20,NA,Other,yes,2014,Leaf,front,11-12-2000
Audi,39000,sedan,18,1.8,Other,yes,2015,A5,front,12-12-2000
Lexus,44500,crossover,144,5.7,Gas,yes,2009,LX 570,full,13-12-2000
Mercedes-Benz,24999,sedan,112,2.2,Diesel,yes,2012,C-Class,,14-12-2000
Toyota,11300,hatch,87,1,Petrol,yes,2009,IQ,front,15-12-2000
Nissan,25382.955,crossover,0,1.6,Diesel,yes,2016,Qashqai,full,18-12-2000
Skoda,8100,sedan,135,1.8,Petrol,yes,2008,Superb,front,19-12-2000
Mitsubishi,23000,crossover,125,3,Gas,yes,2008,Pajero Wagon,full,20-12-2000
Nissan,14200,sedan,28,NA,Other,yes,2014,Leaf,front,21-12-2000
Tesla,159600,sedan,0,NA,Other,yes,2016,Model S,full,22-12-2000
Mercedes-Benz,0,vagon,200,2.2,Diesel,yes,2006,Vito пасс.,rear,26-12-2000
Audi,1950,vagon,210,1.8,Gas,no,1996,A4,front,27-12-2000
Land Rover,33000,crossover,140,5,Petrol,yes,2010,Range Rover Sport,full,28-12-2000
Audi,0,crossover,65,3,Diesel,yes,2013,A6,full,29-12-2000
Land Rover,51500,crossover,93,3,Diesel,yes,2013,Range Rover Sport,full,01-01-2001
Skoda,22700,hatch,24,1.4,Petrol,yes,2014,Octavia A7,front,02-01-2001
Nissan,17500,hatch,62,NA,Other,yes,2013,Leaf,front,03-01-2001
Skoda,11900,sedan,109,1.8,Petrol,yes,2012,Octavia A5,front,04-01-2001
Porsche,0,crossover,200,4.8,Petrol,yes,2007,Cayenne,full,05-01-2001
BMW,28000,sedan,170,2,Diesel,yes,2011,520,rear,08-01-2001
Subaru,12900,vagon,116,2,Petrol,yes,2008,Forester,full,09-01-2001
Kia,16400,hatch,54,1.6,Diesel,yes,2013,Ceed,front,10-01-2001
Toyota,24171.42,sedan,1,2.5,Petrol,yes,2016,Camry,front,11-01-2001
Audi,1950,sedan,320,19,Other,no,1996,A4,,12-01-2001
Mercedes-Benz,20300,sedan,198,1.8,Gas,yes,2011,E-Class,rear,15-01-2001
Subaru,14000,crossover,171,99.99,Petrol,yes,2010,Forester,full,16-01-2001
Volkswagen,9900,sedan,80,1.6,Petrol,yes,2011,Polo,front,17-01-2001
Mercedes-Benz,110000,crossover,0,3,Diesel,yes,2016,GLS 350,full,18-01-2001
Nissan,16500,hatch,32,NA,Other,yes,2013,Leaf,front,19-01-2001
Audi,25500,sedan,140,2.8,Petrol,yes,2012,A6,front,22-01-2001
Renault,13300,other,132,1.5,Diesel,yes,2012,Megane,,23-01-2001
Volkswagen,7000,van,345,1.9,Diesel,yes,2006,T5 (Transporter) груз,front,24-01-2001
VAZ,3600,other,80,2,Gas,yes,2002,2121,full,25-01-2001
Honda,12990,sedan,111,1.8,Petrol,yes,2011,Civic,front,29-01-2001
Porsche,0,sedan,14,3.6,Petrol,yes,2014,Panamera,full,30-01-2001
Land Rover,147000,crossover,15,5,Petrol,yes,2015,Range Rover Sport,full,31-01-2001
Honda,11900,sedan,109,2.4,Petrol,yes,2009,Accord,front,01-02-2001
Volkswagen,12199,vagon,149,2,Diesel,yes,2008,Passat B6,front,02-02-2001
Chevrolet,5200,sedan,179,1.5,Gas,yes,2008,Aveo,front,05-02-2001
Renault,10500,vagon,185,1.5,Diesel,yes,2011,Megane,front,06-02-2001
Toyota,24800,sedan,43,2.5,Gas,yes,2015,Camry,front,07-02-2001
Kia,13300,hatch,35,1.6,Petrol,yes,2012,Ceed,front,08-02-2001
Audi,2200,sedan,250,NA,Diesel,no,2001,A6,front,09-02-2001
Audi,2300,vagon,250,2.5,Diesel,no,2001,A6,full,12-02-2001
Audi,2350,vagon,250,NA,Diesel,no,2001,A6,front,13-02-2001
Audi,2500,sedan,180,NA,Petrol,no,2000,A4,front,14-02-2001
BMW,0,crossover,8,2,Diesel,yes,2016,X5,full,15-02-2001
Mitsubishi,6200,sedan,152,1.6,Petrol,yes,2006,Lancer,front,16-02-2001
Nissan,18200,crossover,65,3.5,Gas,yes,2009,Murano,full,19-02-2001
Ford,12500,sedan,63,1.6,Petrol,yes,2013,Focus,front,20-02-2001
Porsche,117777,hatch,9,4.8,Petrol,yes,2014,Panamera,full,21-02-2001
Kia,8800,other,135,2.4,Gas,yes,2006,Sorento,full,22-02-2001
Porsche,69900,sedan,40,3,Diesel,yes,2013,Panamera,rear,23-02-2001
Opel,5350,sedan,180,1.4,Petrol,yes,2007,Astra G,front,26-02-2001
Kia,42741.621,crossover,0,2.2,Diesel,yes,2016,Sorento,full,27-02-2001
Volkswagen,16500,sedan,123,1.8,Petrol,yes,2010,Passat B6,front,28-02-2001
Chevrolet,6700,sedan,80,1.5,Petrol,yes,2011,Aveo,front,01-03-2001
Mercedes-Benz,111999,crossover,0,3,Diesel,yes,2016,GLS 350,full,02-03-2001
Audi,3700,vagon,273,2.5,Diesel,no,2003,A6,front,05-03-2001
Porsche,0,crossover,13,3,Diesel,yes,2015,Macan,full,07-03-2001
Alfa Romeo,5900,hatch,199,1.6,Petrol,yes,2002,147,front,08-03-2001
Toyota,75500,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,full,09-03-2001
Mercedes-Benz,55000,crossover,40,4.6,Petrol,yes,2013,ML 500,full,12-03-2001
Mitsubishi,9800,sedan,148,2,Gas,yes,2008,Lancer X,front,13-03-2001
Subaru,6100,vagon,350,2,Petrol,yes,2005,Forester,full,14-03-2001
Chevrolet,5500,sedan,121,1.5,Petrol,yes,2006,Aveo,front,15-03-2001
Chevrolet,7799,sedan,199,1.6,Gas,yes,2012,Aveo,front,16-03-2001
Honda,13900,hatch,63,1.8,Petrol,yes,2013,Civic,front,19-03-2001
Kia,14500,crossover,106,2.5,Diesel,yes,2008,Sorento,full,20-03-2001
Smart,8000,other,62,1,Petrol,yes,2011,Fortwo,rear,21-03-2001
Renault,14700,crossover,61,1.5,Diesel,yes,2013,Duster,front,22-03-2001
Lexus,135555,crossover,0,4.5,Diesel,yes,2016,LX 450,full,23-03-2001
Hyundai,14500,crossover,102,2.2,Diesel,yes,2008,Santa FE,full,26-03-2001
VAZ,4100,hatch,60,1.6,Petrol,yes,2013,2114,front,27-03-2001
Porsche,54900,sedan,64,4.8,Petrol,yes,2011,Panamera,full,28-03-2001
BMW,30500,sedan,73,2,Petrol,yes,2013,520,rear,29-03-2001
Volkswagen,10700,sedan,195,3.2,Petrol,yes,2007,Passat B6,full,30-03-2001
Nissan,17700,hatch,21,0.11,Other,yes,2014,Leaf,front,02-04-2001
Renault,8700,vagon,123,1.5,Diesel,yes,2009,Megane,front,03-04-2001
Mitsubishi,6200,sedan,170,NA,Other,yes,2005,Lancer,front,04-04-2001
Honda,13200,sedan,145,2,Gas,yes,2008,Accord,front,06-04-2001
Toyota,59900,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,full,09-04-2001
Ford,12099,sedan,109,1.6,Gas,yes,2011,Focus,front,10-04-2001
Volkswagen,7300,van,240,1.9,Diesel,yes,2005,Caddy пасс.,front,11-04-2001
Mercedes-Benz,24800,other,160,3,Diesel,yes,2007,S 320,rear,12-04-2001
Tesla,80000,sedan,27,NA,Other,yes,2013,Model S,front,16-04-2001
Ford,12300,hatch,71,1.6,Gas,yes,2013,Fiesta,front,17-04-2001
Subaru,17000,crossover,134,2,Petrol,yes,2011,Forester,full,18-04-2001
Tesla,58000,hatch,52,NA,Other,yes,2013,Model S,front,19-04-2001
